symbol,reaction_date,event_family,selected_family,selected_branch,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,capital_allocated,outcome,notes
ZS,2024-05-31,positive,positive,failed_reclaim,1,Short,2024-05-31T13:52:00,2024-05-31T16:00:00,173.71,165.0142,5.005929422600898,42.78416000000011,868.5500000000001,Counter-signal exit,Entry: Short @ 173.7100 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=186.1100 | TP=none | Short qty floored 5.756721 → 5 (Alpaca integer rule). | fill_diag: close=173.7100 H=175.3900 L=173.7000 range=0.973% | session_exit=eod | Session-close exit
FTNT,2024-08-07,positive,positive,continuation,1,Long,2024-08-07T10:14:00,2024-08-07T16:00:00,64.82,70.38,8.577599506325214,84.97599506325214,1000.0,Counter-signal exit,Entry: Long @ 64.8200 (signal-bar close) | regime=earnings_continuation_long | SL=62.2272 | TP=none | fill_diag: close=64.8200 H=64.8200 L=64.8200 range=0.000% | session_exit=eod | Session-close exit
TSLA,2024-10-24,positive,positive,continuation,1,Long,2024-10-24T10:00:00,2024-10-24T16:00:00,236.75,253.92,7.252375923970428,71.72375923970428,1000.0,Counter-signal exit,Entry: Long @ 236.7500 (signal-bar close) | regime=earnings_continuation_long | SL=227.2800 | TP=none | fill_diag: close=236.7500 H=236.8400 L=236.6900 range=0.063% | session_exit=eod | Session-close exit
RBLX,2024-10-31,positive,positive,wave_best,1,Short,2024-10-31T13:30:00,2024-10-31T13:40:00,49.95,48.72,2.4624624624624705,23.800800000000084,999.0,Counter-signal exit,Entry: Short @ 49.9500 (signal-bar close) | regime=earnings_wave_short | SL=54.3139 | TP=none | Short qty floored 20.020020 → 20 (Alpaca integer rule). | fill_diag: close=49.9500 H=51.1500 L=49.4900 range=3.323% | session_exit=eod
RBLX,2024-10-31,positive,positive,wave_best,2,Long,2024-10-31T13:43:00,2024-10-31T14:03:00,49.74,51.8001,4.141737032569357,40.61737032569358,1000.0,Counter-signal exit,Entry: Long @ 49.7400 (signal-bar close) | regime=earnings_wave_long | SL=47.7120 | TP=none | fill_diag: close=49.7400 H=49.9700 L=49.4500 range=1.045% | session_exit=eod
TEAM,2024-11-01,positive,positive,wave_best,1,Short,2024-11-01T13:28:00,2024-11-01T13:38:00,225.26,219.32,2.6369528544792677,23.039167999999993,901.0400000000001,Counter-signal exit,Entry: Short @ 225.2600 (signal-bar close) | regime=earnings_wave_short | SL=235.3638 | TP=none | Short qty floored 4.439315 → 4 (Alpaca integer rule). | fill_diag: close=225.2600 H=229.0000 L=225.0100 range=1.771% | session_exit=eod
TEAM,2024-11-01,positive,positive,wave_best,2,Long,2024-11-01T13:39:00,2024-11-01T13:53:00,221.24,216.92061999999999,-1.9523503887181448,-20.32350388718145,1000.0,SL hit,Entry: Long @ 221.2400 (signal-bar close) | regime=earnings_wave_long | SL=216.9206 | TP=none | fill_diag: close=221.2400 H=221.8300 L=219.1400 range=1.216% | session_exit=eod
MRVL,2024-12-04,positive,positive,continuation,1,Long,2024-12-04T10:00:00,2024-12-04T16:00:00,107.19,114.91,7.202164381005689,71.2216438100569,1000.0,Counter-signal exit,Entry: Long @ 107.1900 (signal-bar close) | regime=earnings_continuation_long | SL=102.9024 | TP=none | fill_diag: close=107.1900 H=107.2000 L=107.1900 range=0.009% | session_exit=eod | Session-close exit
TEAM,2025-01-31,positive,positive,continuation,1,Long,2025-01-31T10:07:00,2025-01-31T16:00:00,315.4,312.5899,-0.8909638554216794,-9.709638554216795,1000.0,Counter-signal exit,Entry: Long @ 315.4000 (signal-bar close) | regime=earnings_continuation_long | SL=302.7840 | TP=none | fill_diag: close=315.4000 H=316.4700 L=315.0600 range=0.447% | session_exit=eod | Session-close exit
AXON,2025-02-26,positive,positive,continuation,1,Long,2025-02-26T11:14:00,2025-02-26T16:00:00,577.0,582.43,0.9410745233968718,8.610745233968718,1000.0,Counter-signal exit,Entry: Long @ 577.0000 (signal-bar close) | regime=earnings_continuation_long | SL=553.9200 | TP=none | fill_diag: close=577.0000 H=577.0000 L=577.0000 range=0.000% | session_exit=eod | Session-close exit
MCHP,2025-05-09,positive,positive,failed_reclaim,1,Short,2025-05-09T13:45:00,2025-05-09T16:00:00,53.52,53.03,0.9155455904334866,8.049312000000038,963.3600000000001,Counter-signal exit,Entry: Short @ 53.5200 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=56.7082 | TP=none | Short qty floored 18.684604 → 18 (Alpaca integer rule). | fill_diag: close=53.5200 H=53.7600 L=53.2700 range=0.916% | session_exit=eod | Session-close exit
APLD,2025-07-31,positive,positive,wave_robust,1,Short,2025-07-31T13:30:00,2025-07-31T13:31:00,12.306,12.876800000000001,-4.638387778319535,-47.032228800000155,996.786,SL hit,Entry: Short @ 12.3060 (signal-bar close) | regime=earnings_wave_robust_short | SL=12.8768 | TP=none | Short qty floored 81.261173 → 81 (Alpaca integer rule). | fill_diag: close=12.3060 H=12.8000 L=12.2000 range=4.876% | session_exit=eod
APLD,2025-07-31,positive,positive,wave_robust,2,Long,2025-07-31T13:32:00,2025-07-31T13:52:00,12.8,13.745,7.3828124999999885,69.59344951616487,952.9677711999998,Counter-signal exit,Entry: Long @ 12.8000 (signal-bar close) | regime=earnings_wave_robust_long | SL=12.1965 | TP=none | fill_diag: close=12.8000 H=13.0500 L=12.7600 range=2.266% | session_exit=eod
IDXX,2025-08-04,positive,positive,wave_best,1,Short,2025-08-04T13:59:00,2025-08-04T14:09:00,650.5,657.355,-1.0538047655649527,-7.375400000000019,650.5000000000001,Counter-signal exit,Entry: Short @ 650.5000 (signal-bar close) | regime=earnings_wave_short | SL=684.0799 | TP=none | Short qty floored 1.537279 → 1 (Alpaca integer rule). | fill_diag: close=650.5000 H=653.0700 L=649.1500 range=0.603% | session_exit=eod
IDXX,2025-08-04,positive,positive,wave_best,2,Long,2025-08-04T14:10:00,2025-08-04T14:30:00,656.01,668.895,1.9641468880047548,18.702505510469646,992.6245999999999,Counter-signal exit,Entry: Long @ 656.0100 (signal-bar close) | regime=earnings_wave_long | SL=646.1698 | TP=none | fill_diag: close=656.0100 H=657.9050 L=655.7100 range=0.335% | session_exit=eod
DDOG,2025-08-07,positive,positive,failed_reclaim,1,Short,2025-08-07T12:31:00,2025-08-07T16:00:00,143.6,133.82,6.810584958217271,57.99072,861.5999999999999,Counter-signal exit,Entry: Short @ 143.6000 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=155.9401 | TP=none | Short qty floored 6.963788 → 6 (Alpaca integer rule). | fill_diag: close=143.6000 H=145.0000 L=143.6000 range=0.975% | session_exit=eod | Session-close exit
